sentence,character,gender,keyword,bias_type
"So you tell my boss i have sex in 
guest room?",boss,male,boss,Gendered Occupation
"Please dont tell my boss i have sex 
in guest room, i loose my job, 
please dont tell my boss 
Rani nods an ok
VIJAYLAXMI (CONT’D)
Promise?... promise?..",boss,male,boss,Gendered Occupation
"Please dont tell my boss i have sex 
in guest room, i loose my job, 
please dont tell my boss 
Rani nods an ok
VIJAYLAXMI (CONT’D)
Promise?... promise?..",boss,male,boss,Gendered Occupation
"This time you get lucky the cop is 
my friend
RANI
Sorry
VIJAYLAXMI
I save you but u dont tell my boss 
about the party... promise?
RANI 
Promise
CUT TO:
I/E. PARIS HOTEL RECEPTION.",boss,male,boss,Gendered Occupation
"POLICE KO 
BULAUNGI!!!",POLICE,male,POLICE,Gendered Occupation
"POLICE
A light comes on in one of the houses in the alley and the 
guys hear voices of a few people far away approaching them.",POLICE,male,POLICE,Gendered Occupation
"The police will catch you and put 
you in jail
Lee cooper makes a face and mikhaelo goes back to painting 
amused.",police,male,police,Gendered Occupation
"Rani is not listening 
RANI
Ill call the police!",police,male,police,Gendered Occupation
"This for chintu, my brother... he 
loves playing chor police",police,male,police,Gendered Occupation
"Vijay looks at her almost as if seeing 
her for the first time, shes looking lovely.",she,female,lovely,Appearance bias
