sentence,character,gender,keyword,bias_type
"BRIGADIER MURTHY addresses a 
handful of senior army and J&K police ofﬁcers.",police,male,police,Gendered Occupation
"A dead militant is worth a lakh these days…
The other police ofﬁcers start to dress up the crime scene, 
untying the ropes from the dead bodies and placing the guns 
in their hands.",police,male,police,Gendered Occupation
"SOLDIER 
nsj cgqr gks xbZ vkt\
You got delayed today...
HILAAL 
,d vkWijs'ku gS…
Another surgery…
SOLDIER 
gk¡ HkkbZ MkWDVj lkc dks tkus nks…
Let the doctor go…
CUT TO: 
11 INT.",doctor,male,doctor,Gendered Occupation
Exactly what a doctor should be doing.,doctor,male,doctor,Gendered Occupation
"HILAAL’S HOME 
LIYAQAT PARVEZ LONE, in his early thirties, drives by 
in a police jeep.",police,male,police,Gendered Occupation
The elderly driver of the police jeep comes to him.,police,male,police,Gendered Occupation
"Parvez in his police uniform sits opposite and listens 
to Liyaqat quietly, who paces up and down.",police,male,police,Gendered Occupation
"After the doctor’s arrest, 
his world is out of joint.",doctor,male,doctor,Gendered Occupation
"‘Disappeared Doctor’s Brother NDP candidate from 
Koshmar.’",Doctor,male,Doctor,Gendered Occupation
"The doctor used to say the same thing… I can't take 
it any more… I want to escape from this fear…
Khurram holds her hands as tears roll off her cheeks.",doctor,male,doctor,Gendered Occupation
"On a front wall of the police station is the fading grafﬁti: 
‘Catch Them By Their Balls, Their Hearts and Minds Will 
Follow.’",police,male,police,Gendered Occupation
The doctor was one of my closest friends..,doctor,male,doctor,Gendered Occupation
"PARVEZ 
vt+ht+ gSa… ns[kks eSa rqEgsa dksbZ >wBk fnyklk ugha nsuk pkgrk… lp 
;g gS vkehZ okys gekjh fcYdqy ugha lqurs- 
Is… not was… look I don't want to give you any 
false hope… but the truth is what powers do we the 
police have over the army?",police,male,police,Gendered Occupation
"Any person arrested and taken into custody 
under this Act shall be handed over to the ofﬁcer 
in charge of the nearest police station with the least 
possible delay.",police,male,police,Gendered Occupation
"It's best if we just wait for the doctor  
to return… silently.",doctor,male,doctor,Gendered Occupation
POLICE MORGUE - DAY,POLICE,male,POLICE,Gendered Occupation
A police truck drives in.,police,male,police,Gendered Occupation
"SALMAN & SALMAN VIDEO SHOP - DAY 
An Ambassador car escorted by a police jeep stops in front 
of the shop.",police,male,police,Gendered Occupation
I'll take care of the doctor.,doctor,male,doctor,Gendered Occupation
"ARSHIA 
vki doctor gSa\ 
Are you a doctor?",doctor,male,doctor,Gendered Occupation
"ARSHIA 
vki doctor gSa\ 
Are you a doctor?",doctor,male,doctor,Gendered Occupation
"ROOHDAAR 
ugha… doctor dh :g-",doctor,male,doctor,Gendered Occupation
A doctor’s soul.,doctor,male,doctor,Gendered Occupation
After that day the doctor,doctor,male,doctor,Gendered Occupation
"You can die, doctor, but I won’t.",doctor,male,doctor,Gendered Occupation
"The same militants being produced in court, getting bail, 
boarding awaiting police vehicles.",police,male,police,Gendered Occupation
"A few days later, they found the 
doctor’s body.",doctor,male,doctor,Gendered Occupation
They took the doctor’s body there.,doctor,male,doctor,Gendered Occupation
"She looks beautiful in a 
bride’s attire.",She,female,beautiful,Appearance bias
"A doctor administers 
an injection on his arm.",doctor,male,doctor,Gendered Occupation
The doctor wraps up his instruments.,doctor,male,doctor,Gendered Occupation
"KHURRAM’S HOME 

168
Parvez and the doctor drive away in his jeep.",doctor,male,doctor,Gendered Occupation
It’s the doctor’s wife on the line.,doctor,male,doctor,Gendered Occupation
"The army picked him up alive… and the  
police brought him back… dead… he  
committed suicide in jail…
Haider is speechless.",police,male,police,Gendered Occupation
